from_str,to_str,value,from,to
"[(0, 2), (0, 4), (1, 1), (2, 0), (4, 0)]","[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]",R,2,1
"[(0, 2), (0, 4), (1, 0), (2, 1), (4, 0)]","[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]",R,3,1
"[(0, 2), (0, 4), (1, 0), (2, 0), (4, 1)]","[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]",R,4,1
"[(0, 1), (0, 4), (1, 2), (2, 0), (4, 0)]","[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]",R,5,1
"[(0, 1), (0, 4), (1, 0), (2, 2), (4, 0)]","[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]",R,6,1
"[(0, 1), (0, 4), (1, 0), (2, 0), (4, 2)]","[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]",R,7,1
"[(0, 1), (0, 2), (1, 4), (2, 0), (4, 0)]","[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]",R,8,1
"[(0, 1), (0, 2), (1, 0), (2, 4), (4, 0)]","[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]",R,9,1
"[(0, 1), (0, 2), (1, 0), (2, 0), (4, 4)]","[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]",R,10,1
"[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]","[(0, 2), (0, 4), (1, 1), (2, 0), (4, 0)]",C,1,2
"[(0, 4), (1, 1), (2, 2), (4, 0)]","[(0, 2), (0, 4), (1, 1), (2, 0), (4, 0)]",R,11,2
"[(0, 4), (1, 1), (2, 0), (4, 2)]","[(0, 2), (0, 4), (1, 1), (2, 0), (4, 0)]",R,12,2
"[(0, 2), (1, 1), (2, 4), (4, 0)]","[(0, 2), (0, 4), (1, 1), (2, 0), (4, 0)]",R,13,2
"[(0, 2), (1, 1), (2, 0), (4, 4)]","[(0, 2), (0, 4), (1, 1), (2, 0), (4, 0)]",R,14,2
"[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]","[(0, 2), (0, 4), (1, 0), (2, 1), (4, 0)]",C,1,3
"[(0, 4), (1, 2), (2, 1), (4, 0)]","[(0, 2), (0, 4), (1, 0), (2, 1), (4, 0)]",R,15,3
"[(0, 4), (1, 0), (2, 1), (4, 2)]","[(0, 2), (0, 4), (1, 0), (2, 1), (4, 0)]",R,16,3
"[(0, 2), (1, 4), (2, 1), (4, 0)]","[(0, 2), (0, 4), (1, 0), (2, 1), (4, 0)]",R,17,3
"[(0, 2), (1, 0), (2, 1), (4, 4)]","[(0, 2), (0, 4), (1, 0), (2, 1), (4, 0)]",R,18,3
"[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]","[(0, 2), (0, 4), (1, 0), (2, 0), (4, 1)]",C,1,4
"[(0, 4), (1, 2), (2, 0), (4, 1)]","[(0, 2), (0, 4), (1, 0), (2, 0), (4, 1)]",R,19,4
"[(0, 4), (1, 0), (2, 2), (4, 1)]","[(0, 2), (0, 4), (1, 0), (2, 0), (4, 1)]",R,20,4
"[(0, 2), (1, 4), (2, 0), (4, 1)]","[(0, 2), (0, 4), (1, 0), (2, 0), (4, 1)]",R,21,4
"[(0, 2), (1, 0), (2, 4), (4, 1)]","[(0, 2), (0, 4), (1, 0), (2, 0), (4, 1)]",R,22,4
"[(0, 1), (0, 2), (0, 4), (1, 0), (2, 0), (4, 0)]","[(0, 1), (0, 4), (1, 2), (2, 0), (4, 0)]",C,1,5
